month,day,hour,minute,second,accuracy,dataset,search_space,optimizer,seed
01,09,05,15,07,88.56169581413269,cifar10,1,darts,1
01,09,05,16,05,88.41145634651184,cifar10,1,darts,2
01,09,05,16,28,87.38982081413269,cifar10,1,darts,3
01,09,05,16,05,88.45152258872986,cifar10,1,darts,4
01,09,05,13,51,88.45152258872986,cifar10,1,darts,5
01,09,02,36,22,92.92868375778198,cifar10,1,edge_popup,1
01,09,02,34,09,92.29767918586731,cifar10,1,edge_popup,2
01,09,02,39,59,92.59815812110901,cifar10,1,edge_popup,3
01,09,02,37,38,93.29928159713745,cifar10,1,edge_popup,4
01,09,02,46,24,82.49198794364929,cifar10,1,edge_popup,5
01,09,02,35,42,93.19911599159241,cifar10,1,drnas,1
01,09,02,24,30,93.42948794364929,cifar10,1,drnas,2
01,09,02,41,06,93.19911599159241,cifar10,1,drnas,3
01,09,02,30,28,93.49960088729858,cifar10,1,drnas,4
01,09,02,25,18,93.49960088729858,cifar10,1,drnas,5
01,09,05,22,57,93.19911599159241,cifar10,1,gdas,1
01,09,05,27,26,93.42948794364929,cifar10,1,gdas,2
01,09,10,27,29,93.19911599159241,cifar10,1,gdas,3
01,09,10,28,10,93.49960088729858,cifar10,1,gdas,4
01,09,10,28,21,93.49960088729858,cifar10,1,gdas,5
01,08,18,00,13,39.13,cifar10,2,darts,1
01,08,17,59,50,62.55,cifar10,2,darts,2
01,08,18,01,35,61.21,cifar10,2,darts,3
0,0,0,0,0,cifar10,2,darts,4
01,08,18,25,54,62.55,cifar10,2,darts,5
01,08,02,00,49,93.56,cifar10,2,edge_popup,1
01,08,01,58,29,93.99,cifar10,2,edge_popup,2
01,08,02,10,47,94.34,cifar10,2,edge_popup,3
01,08,03,13,11,94.13,cifar10,2,edge_popup,4
01,08,01,58,07,93.51,cifar10,2,edge_popup,5
01,08,02,04,13,94.47,cifar10,2,drnas,1
01,08,02,03,28,94.28,cifar10,2,drnas,2
01,08,02,02,23,94.34,cifar10,2,drnas,3
01,08,02,00,08,94.28,cifar10,2,drnas,4
01,08,01,59,38,94.28,cifar10,2,drnas,5
01,08,17,08,39,93.56,cifar10,2,gdas,1
01,08,17,05,10,93.39,cifar10,2,gdas,2
01,08,17,03,37,93.06,cifar10,2,gdas,3
01,08,17,03,20,90.38,cifar10,2,gdas,4
01,08,17,04,10,93.61,cifar10,2,gdas,5
01,18,14,00,23,91.13815307617188,cifar10,3,darts,1
01,18,13,48,46,90.55530548095703,cifar10,3,darts,2
01,18,13,48,39,90.66844940185547,cifar10,3,darts,3
01,18,15,10,36,90.60185241699219,cifar10,3,darts,4
01,18,13,52,15,91.29554748535156,cifar10,3,darts,5
01,18,14,06,23,93.64998626708984,cifar10,3,edge_popup,1
01,18,14,26,27,93.48323822021484,cifar10,3,edge_popup,2
01,18,14,05,47,93.92082214355469,cifar10,3,edge_popup,3
01,19,04,54,18,93.78636932373047,cifar10,3,edge_popup,4
01,19,05,11,10,93.94078063964844,cifar10,3,edge_popup,5
01,18,13,58,56,93.18109130859375,cifar10,3,drnas,1
01,18,14,33,14,93.39436340332031,cifar10,3,drnas,2
01,18,13,59,43,93.07141876220703,cifar10,3,drnas,3
0,0,0,0,0,0,cifar10,3,drnas,4
0,0,0,0,0,0,cifar10,3,drnas,5
01,18,06,29,26,93.73638153076172,cifar10,3,gdas,1
01,18,06,31,18,94.06901550292969,cifar10,3,gdas,2
01,18,06,36,47,94.45191955566406,cifar10,3,gdas,3
01,18,06,34,43,93.65122985839844,cifar10,3,gdas,4
01,18,06,27,19,93.92353820800781,cifar10,3,gdas,5
01,09,20,28,14,39.98,cifar10-valid,2,darts,1
0,0,0,0,0,0,cifar10-valid,2,darts,2
01,09,20,29,23,39.84,cifar10-valid,2,darts,3
01,09,22,15,19,40.15,cifar10-valid,2,darts,4
01,09,22,35,15,67.39,cifar10-valid,2,darts,5
01,09,17,17,12,90.36,cifar10-valid,2,edge_popup,1
01,09,17,10,52,89.62,cifar10-valid,2,edge_popup,2
01,09,17,11,26,86.02,cifar10-valid,2,edge_popup,3
01,09,17,09,58,88.96,cifar10-valid,2,edge_popup,4
01,09,17,12,02,90.76,cifar10-valid,2,edge_popup,5
01,09,17,19,44,90.93,cifar10-valid,2,drnas,1
01,09,17,16,59,91.32,cifar10-valid,2,drnas,2
01,09,17,19,39,91.49,cifar10-valid,2,drnas,3
01,09,17,17,40,91.32,cifar10-valid,2,drnas,4
0,0,0,0,0,0,cifar10-valid,2,drnas,5
01,10,21,43,11,89.73,cifar10-valid,2,gdas,1
01,10,21,43,06,67.73,cifar10-valid,2,gdas,2
01,10,21,42,00,89.07,cifar10-valid,2,gdas,3
01,10,21,53,21,89.84,cifar10-valid,2,gdas,4
01,10,21,47,15,89.34,cifar10-valid,2,gdas,5
